ant	Small insect
antarctic	South polar region
antelope	Swift horned animal
antiquity	The ancient past
anxiety	Worry
apartment	Flat
apostrophe	Punctuation mark
appeal	Request
appearance	Look
appetizer	Small first course
applause	Clapping hands
apple	Round fruit
application	Use
appointment	Meeting
apprenticeship	Training period
approach	Method
appropriation	Taking for use
approval	Consent
apricot	Orange stone fruit
aquatic	Water organism
archipelago	Group of islands
architecture	Building design
area	Region
argument	Debate
arm	Limb
army	Military
arrangement	Organization
arrival	Coming
art	Art
article	Item
artist	Creator
aspect	Side
assistance	Help or support.
bachelor	An unmarried man.
bother	Trouble; annoyance.
bounty	Reward; abundance.
bowel	Part of intestine.
chapati	Indian flatbread.
comer	Person who arrives.
creditor	Person owed money.
dandelion	Yellow weed flower.
daytime	Period of daylight.
daze	State of confusion.
deceit	Act of deceiving.
deity	Divine being; god.
dot	A small round mark.
England	Country in Britain.
enrollment	Act of registering.
essence	Intrinsic nature.
eternal	Lasting forever.
ethic	Moral principle.
euro	European currency.
everlasting	Lasting forever.
familiarity	Close acquaintance.
farmhouse	Main house on farm.
fatigue	Extreme tiredness.
feed	Food for animals.
feel	Physical sensation.
fifth	Ordinal number 5th.
fig	Sweet soft fruit.
fighter	Person who fights.
flair	Natural ability.
flicker	Shine unsteadily.
fling	Throw forcefully.
flood	Overflow of water.
flurry	Sudden commotion.
flux	Continuous change.
fodder	Food for livestock.
foil	Thin metal sheet.
fold	Bend over part of.
forefront	Leading position.
formality	Formal procedure.
fort	Fortified building.
fourth	Ordinal number 4th.
fowl	Domesticated bird.
fox	Carnivorous mammal.
fray	Unravel at edge.
French	Language of France.
Friday	Sixth day of week.
frill	Decorative edging.
parent	A father or mother.
paycheck	A salary payment.
period	A length of time.
picnic	An outdoor meal.
priest	A religious leader.
eastward	Toward the east.
e-mail	Electronic mail.
gale	Very strong wind.
garment	Item of clothing.
gathering	Assembly of people.
Greek	Person from Greece.
hatred	Intense dislike.
heel	Back part of foot.
panther	A large wild cat.
pink	A pale red color.
pork	The meat from pigs.
potato	An edible tuber.
raspberry	A soft red fruit.
raven	A large black bird.
reader	A person who reads.
residence	A person's home.
riches	Material wealth.
sherry	A fortified wine.
doze	To sleep lightly.
genetics	Study of heredity.
grapefruit	Large citrus fruit.
greyhound	Slender racing dog.
grub	Larva of insect.
gust	Sudden strong wind.
hang	Suspend from above.
pudding	A sweet dessert.
