en	lang	example_translation
abbey	de	Westminster Abbey hat jahrhundertelang Krönungen britischer Monarchen ausgerichtet.
abbey	fr	L'abbaye de Westminster a accueilli les couronnements des monarques britanniques pendant des siècles.
abbey	es	La Abadía de Westminster ha sido sede de las coronaciones de los monarcas británicos durante siglos.
abbey	it	L'Abbazia di Westminster ha ospitato le incoronazioni dei monarchi britannici per secoli.
abbey	pt	A Abadia de Westminster tem sediado coroações de monarcas britânicos por séculos.
abbey	ru	Вестминстерское аббатство принимало коронации британских монархов на протяжении веков.
abbey	ar	استضافت كنيسة وستمنستر حفلات تتويج الملوك البريطانيين لعدة قرون.
abbey	hi	वेस्टमिंस्टर एबे ने सदियों से ब्रिटिश सम्राटों के राज्याभिषेक की मेजबानी की है।
abbey	ja	ウェストミンスター寺院は何世紀にもわたってイギリス王室の戴冠式を主催してきました。
abbey	zh	威斯敏斯特大教堂几个世纪以来一直举办英国君主的加冕仪式。
abbreviation	de	Medizinische Fachkräfte verwenden üblicherweise 'Dr.' als Abkürzung für Doktor.
abbreviation	fr	Les professionnels de la santé utilisent couramment 'Dr.' comme abréviation de Docteur.
abbreviation	es	Los profesionales médicos comúnmente usan 'Dr.' como abreviatura de Doctor.
abbreviation	it	I professionisti sanitari usano comunemente 'Dr.' come abbreviazione di Dottore.
abbreviation	pt	Profissionais médicos comumente usam 'Dr.' como abreviação de Doutor.
abbreviation	ru	Медицинские работники обычно используют 'Dr.' как сокращение от Доктор.
abbreviation	ar	يستخدم المهنيون الطبيون عادة 'Dr.' كاختصار لكلمة طبيب.
abbreviation	hi	चिकित्सा पेशेवर आमतौर पर डॉक्टर के लिए 'Dr.' का संक्षिप्त रूप उपयोग करते हैं।
abbreviation	ja	医療従事者は一般的に「Dr.」を医師の略語として使用します。
abbreviation	zh	医疗专业人员通常使用'Dr.'作为医生的缩写。
ability	de	Ihre Fähigkeit, komplexe Probleme zu lösen, beeindruckte das gesamte Team.
ability	fr	Sa capacité à résoudre des problèmes complexes a impressionné toute l'équipe.
ability	es	Su habilidad para resolver problemas complejos impresionó a todo el equipo.
ability	it	La sua capacità di risolvere problemi complessi ha colpito tutto il team.
ability	pt	Sua habilidade para resolver problemas complexos impressionou toda a equipe.
ability	ru	Её способность решать сложные проблемы произвела впечатление на всю команду.
ability	ar	قدرتها على حل المشاكل المعقدة أعجبت الفريق بأكمله.
ability	hi	जटिल समस्याओं को हल करने की उसकी क्षमता ने पूरी टीम को प्रभावित किया।
ability	ja	複雑な問題を解決する彼女の能力は、チーム全体を感動させました。
ability	zh	她解决复杂问题的能力给整个团队留下了深刻印象。
abnormality	de	Ärzte untersuchen jede Anomalie, die bei medizinischen Untersuchungen gefunden wird.
abnormality	fr	Les médecins enquêtent sur toute anomalie trouvée lors d'examens médicaux.
abnormality	es	Los médicos investigan cualquier anomalía encontrada durante los exámenes médicos.
abnormality	it	I medici indagano su qualsiasi anomalia trovata durante gli esami medici.
abnormality	pt	Médicos investigam qualquer anormalidade encontrada durante exames médicos.
abnormality	ru	Врачи исследуют любые аномалии, обнаруженные во время медицинских обследований.
abnormality	ar	يحقق الأطباء في أي شذوذ يُكتشف أثناء الفحوصات الطبية.
