en	meaning_en	target_lang	translation	gender	ui_lang	trick_text_en	trick_text_translated	status
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	ar		يؤكد على البنية القوية والحامية الشبيهة بالحصن التي تحرس التقاليد المقدسة.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	de		Betont die starke, schützende festungsähnliche Struktur, die heilige Traditionen bewacht.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	en	Emphasizes the strong, protective fortress-like structure that guards sacred traditions.		draft
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	es		Enfatiza la estructura fuerte y protectora similar a una fortaleza que guarda las tradiciones sagradas.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	fr		Met l'accent sur la structure forte et protectrice semblable à une forteresse qui garde les traditions sacrées.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	hi		मजबूत, सुरक्षात्मक किले जैसी संरचना पर जोर देता है जो पवित्र परंपराओं की रक्षा करती है।	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	it		Enfatizza la struttura forte e protettiva simile a una fortezza che custodisce tradizioni sacre.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	ja		神聖な伝統と知識を守る強固で保護的な要塞のような構造を強調するため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	pt		Enfatiza a estrutura forte e protetora semelhante a uma fortaleza que guarda tradições sagradas.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	ru		Подчеркивает сильную, защитную крепостеподобную структуру, охраняющую священные традиции.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ar	دير	m	zh		强调保护神圣传统和知识的强固、保护性堡垒般结构。	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	ar		تجسد الرعاية الحامية والأمومية لمجتمع ديني يأوي الأطفال الروحيين.	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	de		Verkörpert die schützende, mütterliche Fürsorge einer religiösen Gemeinschaft für geistliche Kinder.	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	en	Embodies the protective, motherly care of a religious community that shelters spiritual children.		draft
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	es		Encarna el cuidado protector y maternal de una comunidad religiosa que refugia a los hijos espirituales.	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	fr		Incarne les soins protecteurs et maternels d'une communauté religieuse qui abrite les enfants spirituels.	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	hi		धार्मिक समुदाय की सुरक्षात्मक, मातृत्व देखभाल का प्रतीक है जो आध्यात्मिक बच्चों को आश्रय देती है।	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	it		Incarna la cura protettiva e materna di una comunità religiosa che accoglie i figli spirituali.	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	ja		精神的な子供たちを保護し育む宗教共同体の母性的な世話を体現するため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	pt		Encarna o cuidado protetor e maternal de uma comunidade religiosa que abriga os filhos espirituais.	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	ru		Воплощает защитную, материнскую заботу религиозного сообщества о духовных детях.	ready
abbey	a building or buildings occupied by a community of monks or nuns	de	Abtei	f	zh		体现了宗教社区的保护性、母性关怀，庇护精神上的孩子们。	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	ar		يمثل العناق الأمومي لمكان مقدس يحمي ويغذي الباحثين.	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	de		Stellt die mütterliche Umarmung eines heiligen Ortes dar, der Suchende schützt und nährt.	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	en	Represents the maternal embrace of a sacred place that protects and nurtures seekers.		draft
