en	lang	translation	gender	meaning_translation
abbey	fr	abbaye	f	
abbey	de			
abbey	es	abadía	f	
abbey	it	edificio	m	
abbey	pt	abadia	f	
abbey	ru	аббатство	n	
abbey	ar	دير	m	
abbey	hi			
abbey	ja			
abbey	zh			
abbreviation	fr	abréviation	f	
abbreviation	de			
abbreviation	es	abreviatura	f	
abbreviation	it	forma	f	
abbreviation	pt	abreviatura	f	
abbreviation	ru	аббревиатура	f	
abbreviation	ar	اختصار	m	
abbreviation	hi			
abbreviation	ja			
abbreviation	zh			
ability	fr	capacité	f	
ability	de			
ability	es	capacidad	f	
ability	it	possesso	m	
ability	pt	habilidade	f	
ability	ru	способность	f	
ability	ar	قدرة	f	
ability	hi			
ability	ja			
ability	zh			
abnormality	fr	anomalie	f	
abnormality	de			
abnormality	es	anomalía	f	
abnormality	it	caratteristica	f	
abnormality	pt	anormalidade	f	
abnormality	ru	аномалия	f	
abnormality	ar	شذوذ	m	
abnormality	hi			
abnormality	ja			
abnormality	zh			
abortion	fr	avortement	m	
abortion	de			
abortion	es	aborto	m	
abortion	it	interruzione	f	
abortion	pt	aborto	m	
abortion	ru	аборт	m	
abortion	ar	إجهاض	m	
abortion	hi			
abortion	ja			
abortion	zh			
absence	fr	absence	f	
absence	de			
absence	es	ausencia	f	
absence	it	stato	m	
absence	pt	ausência	f	
absence	ru	отсутствие	n	
absence	ar	غياب	m	
absence	hi			
absence	ja			
absence	zh			
absolute	fr	absolu	m	
absolute	de			
absolute	es	absoluto	m	
absolute	it	valore	m	
absolute	pt	certeza	f	
absolute	ru	абсолют	m	
absolute	ar	مطلق	m	
absolute	hi			
absolute	ja			
absolute	zh			
abstract	fr	résumé	m	
abstract	de			
abstract	es	resumen	m	
abstract	it	riassunto	m	
abstract	pt	resumo	m	
abstract	ru	абстракция	f	
abstract	ar	ملخص	m	
abstract	hi			
abstract	ja			
abstract	zh			
abstraction	fr	abstraction	f	
abstraction	de			
abstraction	es	abstracción	f	
abstraction	it	qualità	f	
abstraction	pt	abstração	f	
abstraction	ru	абстракция	f	
abstraction	ar	تجريد	m	
abstraction	hi			
abstraction	ja			
abstraction	zh			
absurd	fr	absurde	m	
absurd	de			
absurd	es	absurdo	m	
absurd	it	qualità	f	
absurd	pt	absurdo	m	
absurd	ru	абсурд	m	
absurd	ar	عبث	m	
absurd	hi			
absurd	ja			
absurd	zh			
absurdity	fr	absurdité	f	
absurdity	de			
absurdity	es	absurdidad	f	
absurdity	it	qualità	f	
absurdity	pt	estado de ser ridículo	m	
absurdity	ru	абсурдность	f	
absurdity	ar	سخافة	f	
absurdity	hi			
absurdity	ja			
absurdity	zh			
abundance	fr	abondance	f	
abundance	de			
abundance	es	abundancia	f	
abundance	it	quantità	f	
abundance	pt	abundância	f	
abundance	ru	изобилие	n	
abundance	ar	وفرة	f	
abundance	hi			
abundance	ja			
abundance	zh			
abuse	fr	abus	m	
abuse	de			
abuse	es	abuso	m	
abuse	it	uso	m	
abuse	pt	abuso	m	
abuse	ru	злоупотребление	n	
abuse	ar	إساءة	f	
abuse	hi			
abuse	ja			
abuse	zh			
academy	fr	académie	f	
academy	de			
academy	es	academia	f	
academy	it	luogo	m	
academy	pt	academia	f	
academy	ru	академия	f	
academy	ar	أكاديمية	f	
academy	hi			
academy	ja			
academy	zh			
accent	fr	accent	m	
accent	de			
accent	es	acento	m	
accent	it	modo	m	
accent	pt	sotaque	m	
accent	ru	акцент	m	
accent	ar	لهجة	f	
accent	hi			
accent	ja			
accent	zh			
access	fr	accès	m	
access	de			
access	es	acceso	m	
access	it	mezzo	m	
access	pt	acesso	m	
access	ru	доступ	m	
access	ar	وصول	m	
access	hi			
access	ja			
access	zh			
accessory	fr	accessoire	m	
accessory	de			
accessory	es	accesorio	m	
accessory	it	cosa	f	
accessory	pt	acessório	m	
accessory	ru	аксессуар	m	
accessory	ar	إكسسوار	m	
accessory	hi			
accessory	ja			
accessory	zh			
accident	fr	accident	m	
accident	de			
accident	es	accidente	m	
accident	it	incidente	m	
accident	pt	acidente	m	
accident	ru	авария	f	
accident	ar	حادث	m	
accident	hi			
accident	ja			
accident	zh			
accommodation	fr	logement	m	
accommodation	de			
accommodation	es	alojamiento	m	
