en	meaning_en	meaning_ja	meaning_zh	meaning_fr	meaning_de	meaning_es	meaning_it	meaning_pt	meaning_ru	meaning_ar	meaning_hi
abbey	A building or buildings occupied by a community of monks or nuns.	修道院; 僧院や尼僧院が使用する建物。	修道院; 僧侣或修女居住的建筑群。	Abbaye; bâtiment occupé par une communauté de moines ou de religieuses.	Abtei; Gebäude einer Mönch- oder Nonnengemeinschaft.	Abadía; edificio ocupado por una comunidad de monjes o monjas.	Abbazia; edificio occupato da una comunità di monaci o suore.	Abadia; edifício ocupado por uma comunidade de monges ou freiras.	Аббатство; здание, занимаемое общиной монахов или монахинь.	دير; مبنى تشغله جماعة من الرهبان أو الراهبات.	मठ; भिक्षुओं या भिक्षुणियों के समुदाय द्वारा उपयोग की जाने वाली इमारत।
abbreviation	A shortened form of a word or phrase.	略語; 単語や句の短縮形。	缩写; 词语或短语的缩短形式。	Abréviation; forme raccourcie d'un mot ou d'une phrase.	Abkürzung; verkürzte Form eines Wortes oder einer Phrase.	Abreviatura; forma acortada de una palabra o frase.	Abbreviazione; forma abbreviata di una parola o frase.	Abreviatura; forma encurtada de uma palavra ou frase.	Аббревиатура; сокращённая форма слова или фразы.	اختصار; شكل مختصر من كلمة أو عبارة.	संक्षिप्त रूप; किसी शब्द या वाक्यांश का छोटा रूप।
ability	Possession of the means or skill to do something.	能力; 何かを行う手段や技能の保有。	能力; 拥有做某事的方法或技能。	Capacité; possession des moyens ou compétences pour faire quelque chose.	Fähigkeit; Besitz der Mittel oder Fertigkeiten, etwas zu tun.	Habilidad; posesión de los medios o destrezas para hacer algo.	Abilità; possesso dei mezzi o delle competenze per fare qualcosa.	Habilidade; posse dos meios ou habilidades para fazer algo.	Способность; обладание средствами или навыками для выполнения чего-либо.	قدرة; امتلاك الوسائل أو المهارة لفعل شيء ما.	योग्यता; कुछ करने के लिए साधन या कौशल का होना।
abnormality	The quality of being unusual or different from normal.	異常; 通常と異なるか普通でない性質。	异常; 不寻常或不同于正常的品质。	Anomalie; qualité d'être inhabituel ou différent de la normale.	Abnormalität; die Eigenschaft, ungewöhnlich oder anders als normal zu sein.	Anormalidad; calidad de ser inusual o diferente de lo normal.	Anormalità; qualità di essere insolito o diverso dal normale.	Anormalidade; qualidade de ser incomum ou diferente do normal.	Аномалия; качество быть необычным или отличным от нормального.	شذوذ; صفة كون الشيء غير عادي أو مختلف عن الطبيعي.	असामान्यता; असामान्य या सामान्य से अलग होने का गुण।
abortion	The deliberate termination of a pregnancy.	中絶; 妊娠の意図的な終了。	流产; 有意终止妊娠。	Avortement; interruption délibérée d'une grossesse.	Abtreibung; absichtliche Beendigung einer Schwangerschaft.	Aborto; terminación deliberada de un embarazo.	Aborto; interruzione deliberata di una gravidanza.	Aborto; terminação deliberada de uma gravidez.	Аборт; намеренное прерывание беременности.	إجهاض; إنهاء متعمد للحمل.	गर्भपात; गर्भावस्था की जानबूझकर समाप्ति।
absence	Lack; not being present; missing; vacancy.	欠席; 不足; 存在しないこと; 不在; 空席。	缺席; 缺乏; 不存在; 缺席; 空缺。	Absence; manque; fait de ne pas être présent; manque; vacance.	Abwesenheit; Mangel; nicht anwesend sein; fehlen; Leere.	Ausencia; falta; no estar presente; falta; vacante.	Assenza; mancanza; non essere presente; mancanza; vacanza.	Ausência; falta; não estar presente; falta; vaga.	Отсутствие; недостаток; не присутствие; отсутствие; вакансия.	غياب; نقص; عدم الحضور; افتقاد; شاغر.	अनुपस्थिति; कमी; उपस्थित न होना; अनुपस्थिति; रिक्तता।
absolute	Certainty; completeness; something without limits or conditions.	確実性; 完全性; 制限や条件のない何か。	确定性; 完整性; 没有限制或条件的事物。	Certitude; complétude; quelque chose sans limites ni conditions.	Gewissheit; Vollständigkeit; etwas ohne Grenzen oder Bedingungen.	Certeza; integridad; algo sin límites o condiciones.	Certezza; completezza; qualcosa senza limiti o condizioni.	Certeza; integridade; algo sem limites ou condições.	Определённость; полнота; что-то без ограничений или условий.	يقين; اكتمال; شيء بدون حدود أو شروط.	निश्चितता; पूर्णता; बिना सीमा या शर्तों के कुछ।
abstract	Summary; concept; idea separated from concrete reality.	要約; 概念; 具体的現実から分離されたアイデア。	摘要; 概念; 从具体现实中分离出来的想法。	Résumé; concept; idée séparée de la réalité concrète.	Zusammenfassung; Konzept; von der konkreten Realität getrennte Idee.	Resumen; concepto; idea separada de la realidad concreta.	Riassunto; concetto; idea separata dalla realtà concreta.	Resumo; conceito; ideia separada da realidade concreta.	Реферат; концепция; идея, отделённая от конкретной реальности.	ملخص; مفهوم; فكرة منفصلة عن الواقع المادي.	सारांश; अवधारणा; ठोस वास्तविकता से अलग विचार।
abstraction	The quality of dealing with ideas rather than events.	抽象化; 出来事よりもアイデアを扱う性質。	抽象化; 处理思想而非事件的性质。	Abstraction; qualité de traiter des idées plutôt que des événements.	Abstraktion; die Eigenschaft, mit Ideen statt mit Ereignissen umzugehen.	Abstracción; calidad de tratar con ideas en lugar de eventos.	Astrazione; qualità di trattare con idee piuttosto che eventi.	Abstração; qualidade de lidar com ideias em vez de eventos.	Абстракция; качество работы с идеями, а не с событиями.	تجريد; صفة التعامل مع الأفكار بدلاً من الأحداث.	अमूर्तता; घटनाओं के बजाय विचारों से निपटने का गुण।
absurd	Nonsense; something unreasonable or illogical.	ナンセンス; 不合理または非論理的な何か。	荒谬; 不合理或不合逻辑的事物。	Absurdité; quelque chose de déraisonnable ou illogique.	Absurdität; etwas Unvernünftiges oder Unlogisches.	Absurdo; algo irrazonable o ilógico.	Assurdità; qualcosa di irragionevole o illogico.	Absurdo; algo irracional ou ilógico.	Абсурд; что-то неразумное или нелогичное.	سخف; شيء غير معقول أو غير منطقي.	बेतुकापन; कुछ अनुचित या तर्कहीन।
absurdity	State of being ridiculous; foolishness; nonsense; illogical situation.	ばかげた状態; ばかげていること; 愚かさ; ナンセンス; 非論理的状況。	荒谬状态; 荒谬性; 愚蠢; 无意义; 不合逻辑的情况。	État d'être ridicule; absurdité; folie; non-sens; situation illogique.	Zustand des Lächerlichen; Absurdität; Torheit; Unsinn; unlogische Situation.	Estado de ser ridículo; absurdidad; tontería; sinsentido; situación ilógica.	Stato di essere ridicolo; assurdità; follia; nonsenso; situazione illogica.	Estado de ser ridículo; absurdidade; tolice; nonsense; situação ilógica.	Состояние смехотворности; абсурдность; глупость; бессмыслица; нелогичная ситуация.	حالة السخافة; عبثية; حمق; لا معنى; موقف غير منطقي.	हास्यास्पद होने की अवस्था; बेतुकापन; मूर्खता; निरर्थकता; तर्कहीन स्थिति।
abundance	A very large quantity of something.	豊富; 何かの非常に大量。	丰富; 某物的非常大量。	Abondance; une très grande quantité de quelque chose.	Überfluss; eine sehr große Menge von etwas.	Abundancia; una cantidad muy grande de algo.	Abbondanza; una quantità molto grande di qualcosa.	Abundância; uma quantidade muito grande de algo.	Изобилие; очень большое количество чего-либо.	وفرة; كمية كبيرة جداً من شيء ما.	प्रचुरता; किसी चीज़ की बहुत बड़ी मात्रा।
abuse	The improper use of something or cruel treatment of someone.	乱用; 何かの不適切な使用または誰かへの残酷な扱い。	滥用; 对某物的不当使用或对某人的残酷对待。	Abus; usage inapproprié de quelque chose ou traitement cruel de quelqu'un.	Missbrauch; unsachgemäße Verwendung von etwas oder grausame Behandlung von jemandem.	Abuso; uso inapropiado de algo o trato cruel de alguien.	Abuso; uso improprio di qualcosa o trattamento crudele di qualcuno.	Abuso; uso impróprio de algo ou tratamento cruel de alguém.	Злоупотребление; неправильное использование чего-либо или жестокое обращение с кем-либо.	إساءة استخدام; الاستخدام غير الصحيح لشيء ما أو المعاملة القاسية لشخص ما.	दुरुपयोग; किसी चीज़ का अनुचित उपयोग या किसी के साथ क्रूर व्यवहार।
academy	A school for special training or higher education.	アカデミー; 特別訓練や高等教育のための学校。	学院; 用于特殊训练或高等教育的学校。	Académie; école pour formation spéciale ou enseignement supérieur.	Akademie; Schule für spezielle Ausbildung oder Hochschulbildung.	Academia; escuela para entrenamiento especial o educación superior.	Accademia; scuola per formazione speciale o istruzione superiore.	Academia; escola para treinamento especial ou ensino superior.	Академия; школа для специального обучения или высшего образования.	أكاديمية; مدرسة للتدريب الخاص أو التعليم العالي.	अकादमी; विशेष प्रशिक्षण या उच्च शिक्षा के लिए स्कूल।
