en,meaning_en,example_en
anthem,A rousing song identified with a particular group or cause.,The national anthem was played before the start of the game.
anthropology,The study of humankind,He chose to study anthropology to learn about different human cultures.
antibiotic,A medicine that inhibits the growth of bacteria.,The doctor prescribed a powerful antibiotic to treat the bacterial infection.
antibody,A blood protein produced to counteract antigens.,The vaccine helps the body create a specific antibody to fight the virus.
anticipation,The emotion of looking forward to something.,There was a feeling of great anticipation in the room before the announcement.
antiseptic,A substance that prevents infection.,She cleaned the small cut with an antiseptic to prevent infection.
aperture,"An opening, hole, or gap",The photographer adjusted the aperture of the lens to let in more light.
appetite,"A natural desire to satisfy a bodily need, especially for food.",A healthy appetite is a good sign after recovering from an illness.
apprentice,A person learning a trade from a skilled employer.,The young apprentice learned the craft by watching the master closely.
arc,A part of the circumference of a circle.,The rainbow formed a perfect arc across the sky after the rain.
archaeologist,A person who studies human history through excavation.,An archaeologist carefully uncovered the ancient pottery.
archaeology,The study of human activity through material remains.,Archaeology helps us understand how people lived in the past.
archive,A collection of historical documents or records.,The historical society keeps a detailed archive of local documents.
arithmetic,The branch of mathematics dealing with numbers.,Basic arithmetic is essential for everyday tasks like shopping.
aroma,A distinctive pleasant smell.,The pleasant aroma of baking bread filled the kitchen.
artery,A blood vessel carrying blood away from the heart.,The main artery carries oxygen-rich blood from the heart.
assertion,A confident and forceful statement.,His assertion that the project would be finished on time was correct.
asthma,A respiratory condition causing difficulty in breathing.,He uses an inhaler to manage his asthma.
athletics,Physical sports and games of any kind.,"The school's athletics program includes track, swimming, and basketball."
attribute,A quality or feature regarded as characteristic.,Kindness is a wonderful attribute for a person to have.
audit,An official inspection of accounts.,"The company has an annual audit to check its financial records."
auditorium,A large room for an audience in a theater or concert hall.,"The school play was performed in the main auditorium."
auto,"A motor vehicle, especially a car.","He bought a new auto to commute to work."
aviation,The practice of operating aircraft.,"He has a keen interest in the history of aviation."
badge,A distinctive emblem worn as identification.,"The security guard showed his badge at the entrance."
banner,A large sign or flag bearing a slogan.,"A large banner was hung across the street to announce the festival."
basin,A bowl-shaped container for holding water.,"She washed her hands in the basin."
beam,A ray of light or a structural support.,"A single beam of light shone through the clouds."
behavior,The way a person or animal acts.,"His recent behavior has been a cause for concern."
belly,The front part of the human torso below the chest.,"The baby was sleeping on its belly."
blind,Window covering,"She pulled down the blind to block out the sunlight."
